year,brood,box,sex,tarsus,d21mass,d21wing,wingarea,d21hct,d21hb,takeoff angle,flight velocity,total energy gain,d21time,handlingmin
2014,2,78,M,31.57,74.77,100,57.32,44.1,12.12,16.7,2.09,3.37,10:34,2
2014,1,53,M,32.41,74.7,109,63.9,50.5,12.62,38.66,2.13,4.31,10:16,1
2013,1,187,M,35.03,71.55,103,50.71,45,17.37,0,2.14,2.89,11:10,8
2014,1,14,F,33.15,70.99,108,57.64,51.8,13.28,34.99,2.15,2.71,9:15,1
2013,1,173,F,35.06,70.41,104,50.47,43.8,14.58,21.8,2.15,4.43,10:39,3
2014,1,35,F,31.84,67.89,107,64.02,47.4,12.14,21.8,2.15,2.18,9:48,2
2014,1,155,F,34.14,72.99,108,50.4,52.6,14.41,21.8,2.15,3.77,11:31,2
2014,1,147,M,36.9,87.5,109,78.06,48.5,13.49,21.8,2.15,3.23,12:41,1
2013,1,172,M,34.67,75.92,106,58,47.1,13.01,5.71,2.15,6.45,10:06,9
2013,1,12,M,33.79,72.28,101,49.79,41.4,10.09,21.8,2.15,6.85,10:25,4
2014,1,87,M,33.07,72.08,104,47.22,50.1,13.56,5.71,2.16,2.16,11:40,3
2014,1,35,F,31.77,67.77,105,66.49,46.6,12.87,11.31,2.18,2.4,9:51,3
2014,1,183,F,34.4,72.38,111,69.16,50.1,14.49,30.96,2.18,4.04,13:21,3
2014,1,45,F,31.12,64.91,100,52.13,47.8,11.62,11.31,2.18,1.31,10:03,1
2014,1,27,M,34.79,77.94,110,58.16,54.8,15.75,11.31,2.18,1.66,9:51,1
2014,1,155,M,34.47,70.23,106,62.7,51,13.87,11.31,2.18,4.63,11:28,2
2014,1,66,M,34.76,72.01,108,62.12,55.1,13.7,-11.31,2.18,2.27,11:53,2
2014,1,21,M,29.02,68.93,101,53.48,51.1,13.55,11.31,2.18,1.66,9:28,1
2014,1,183,F,33.59,67.47,104,54.1,48.2,14.42,30.96,2.19,3.96,13:19,3
2014,1,44,F,31.08,69.83,105,62.63,49.9,12.58,16.7,2.23,2.61,10:22,3
2014,1,9,F,31.21,69.02,106,53.26,47.5,13.28,16.7,2.23,3.59,10:07,1
2014,1,155,M,34.6,74.57,110,72.03,51.3,14.46,16.7,2.23,4.21,11:25,2
2014,2,187,M,34.92,72.47,98,45.13,44.1,12.44,16.7,2.23,4.1,11:27,2
2014,1,98,M,34.19,76.57,111,68.79,54.7,11.66,16.7,2.23,4.1,10:28,1
2014,1,183,F,33.85,70.61,111,68.22,51.5,13.83,16.7,2.24,1.19,13:17,2
2013,1,140,M,33.79,72.65,105,40.09,46,15.86,26.57,2.24,5.06,11:04,3
2013,1,177,M,33.88,73.97,109,57.96,39.6,12.95,34.99,2.29,5.66,11:03,4
2014,1,98,F,32.83,73.7,110,55.79,50.1,14.9,21.8,2.31,2.45,10:24,2
2014,1,172,F,34.86,73.35,113,57.66,51.8,15.33,21.8,2.31,2.37,11:59,2
2013,1,190,F,34.22,67.71,105,46.79,44.2,12.79,21.8,2.31,2.89,10:29,3
2014,1,35,M,31.58,64.82,104,57.57,48,12.81,21.8,2.31,4.36,9:52,2
2014,1,169,F,35.03,76.3,107,74.04,46.5,14.06,21.8,2.32,4.9,12:19,1
2014,1,22,M,35.07,80.09,106,53.58,52.3,13.58,21.8,2.32,1.81,9:40,2
2014,1,44,M,27,67.45,102,65.38,50.5,13.58,21.8,2.32,1.81,10:20,2
2014,1,3,F,30.84,68.04,104,55.63,54.4,15.4,30.96,2.33,2.83,8:52,1
2014,1,44,M,30.7,79.01,107,62.31,53.6,13.86,11.31,2.35,2.35,10:18,1
2014,1,78,M,33.81,69.54,103,65.04,50.5,13.78,26.57,2.39,0.5,9:28,1
2014,1,21,F,34.19,75.85,108,51.38,51.3,12.18,26.57,2.4,2.14,9:26,1
2014,1,6,M,33.79,66.92,101,59.6,44.3,11.91,0,2.5,-1.82,8:56,2
2014,1,28,M,34.81,71.2,104,60.29,48.6,14.42,0,2.5,3.2,9:14,1
2014,2,136,M,34.7,70.22,106,64.01,48,12.16,30.96,2.5,0.52,9:46,2
2014,1,22,F,35.01,71.65,102,59.6,46.7,13.6,21.8,2.69,0.43,9:41,1
2014,1,78,M,34.31,77.92,102,69.51,46.1,14.32,21.8,2.93,-2.41,9:23,1
