"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"L970537",NA,"A","L970537","2012-06-01","12:44:00.00","2012-06-02","09:15:00.00","12_127","2012-06-11","08:30:00.00","F"
"L970535",NA,"LT","L970535","2012-06-01","12:44:00.00","2012-06-02","09:15:00.00","12_127","2012-06-11","08:30:00.00","M"
"L970538",NA,"RT","L970538","2012-06-02","09:15:00.00","2012-06-04","09:08:00.00","12_127","2012-06-11","08:30:00.00","F"
"L970540",NA,"BT","L970540","2012-06-02","09:15:00.00","2012-06-04","09:08:00.00","12_127","2012-06-11","08:30:00.00","M"
"L970536",NA,"N","L970536","2012-06-02","09:15:00.00","2012-06-04","09:08:00.00","12_127","2012-06-11","08:30:00.00","F"
"12_92L",NA,"L",NA,"2012-06-01","13:23","2012-06-02","10:31:00.00","12_92","2012-06-08","11:38:00.00",NA
"12_92R",NA,"R",NA,"2012-06-01","13:23","2012-06-02","10:31:00.00","12_92","2012-06-11","12:30:00.00","F"
"L970575",NA,"B","L970575","2012-06-01","13:23","2012-06-02","10:31:00.00","12_92","2012-06-16","10:50:00.00","M"
"12_92LB",NA,"LB",NA,"2012-06-01","13:23","2012-06-02","10:31:00.00","12_92","2012-06-03","10:45:00.00",NA
"L970576",NA,"RB","L970576","2012-06-01","13:23","2012-06-02","10:31:00.00","12_92","2012-06-16","10:50:00.00","M"
"L970577",NA,"LR","L970577","2012-06-01","13:23","2012-06-02","10:31:00.00","12_92","2012-06-14","12:31:00.00","M"
"12_92A",NA,"A",NA,"2012-06-02","10:31:00.00","2012-06-03","10:45:00.00","12_92","2012-06-05","11:01:00.00","F"
"L970566",NA,"L","L970566","2012-06-01","10:41","2012-06-02","08:04:00.00","12_177","2012-06-16","11:05:00.00","M"
"L970571",NA,"R","L970571","2012-06-01","10:41","2012-06-02","08:04:00.00","12_177","2012-06-16","11:05:00.00","M"
"L970572",NA,"B","L970572","2012-06-01","10:41","2012-06-02","08:04:00.00","12_177","2012-06-16","11:05:00.00","M"
"L970574",NA,"LB","L970574","2012-06-01","10:41","2012-06-02","08:04:00.00","12_177","2012-06-14","09:48:00.00","F"
"L970573",NA,"RB","L970573","2012-06-02","08:04:00.00","2012-06-03","09:13:00.00","12_177","2012-06-16","11:05:00.00","M"
"L970569",NA,"LR","L970569","2012-06-02","08:04:00.00","2012-06-03","09:13:00.00","12_177","2012-06-14","09:48:00.00","M"
"L970570",NA,"A","L970570","2012-06-02","08:04:00.00","2012-06-03","09:13:00.00","12_177","2012-06-16","11:05:00.00","F"
"L970568",NA,"LT","L970568","2012-06-02","08:04:00.00","2012-06-03","09:13:00.00","12_177","2012-06-16","11:05:00.00","F"
"L970565",NA,"RT","L970565","2012-06-02","08:04:00.00","2012-06-03","09:13:00.00","12_177","2012-06-16","11:05:00.00","M"
"L970567",NA,"N","L970567","2012-06-02","08:04:00.00","2012-06-03","09:13:00.00","12_177","2012-06-16","11:05:00.00","F"
"L970578",NA,"L","L970578","2012-06-02","8:55","2012-06-03","09:52:00.00","12_147","2012-06-18","07:38:00.00","F"
"L970579",NA,"R","L970579","2012-06-02","8:55","2012-06-03","09:52:00.00","12_147","2012-06-18","07:38:00.00","F"
"L970581",NA,"B","L970581","2012-06-02","8:55","2012-06-03","09:52:00.00","12_147","2012-06-18","07:38:00.00","M"
"L970582",NA,"LB","L970582","2012-06-02","8:55","2012-06-03","09:52:00.00","12_147","2012-06-18","07:38:00.00","M"
"L970580",NA,"N","L970580","2012-06-03","09:52:00.00","2012-06-04","08:50:00.00","12_147","2012-06-18","07:38:00.00","M"
"L970585",NA,"L","L970585","2012-06-02","10:30","2012-06-03","11:24:00.00","12_115","2012-06-18","07:26:00.00","M"
"L970584",NA,"R","L970584","2012-06-02","10:30","2012-06-03","11:24:00.00","12_115",NA,NA,"F"
"L970587",NA,"B","L970587","2012-06-02","10:30","2012-06-03","11:24:00.00","12_115","2012-06-18","07:26:00.00","M"
"L970583",NA,"LB","L970583","2012-06-03","11:24:00.00","2012-06-04","10:01:00.00","12_115","2012-06-18","07:26:00.00","F"
"L970586",NA,"RB","L970586","2012-06-03","11:24:00.00","2012-06-04","10:01:00.00","12_115","2012-06-28",NA,"M"
"L970588",NA,"A","L970588","2012-06-03","11:24:00.00","2012-06-04","10:01:00.00","12_115","2012-06-18","07:26:00.00","M"
"L970589",NA,"LT","L970589","2012-06-03","11:24:00.00","2012-06-04","10:01:00.00","12_115","2012-06-18","07:26:00.00","F"
"12_115RT",NA,"RT",NA,"2012-06-04","10:01:00.00","2012-06-06","08:53:00.00","12_115","2012-06-09","12:27:00.00","F"
"L970591",NA,"L","L970591","2012-06-03","9:19","2012-06-04","07:50:00.00","12_172","2012-06-16","10:05:00.00","M"
