"nestbox","lat","long","population","yr_setup"
"185",55.97221,-3.35352,"craigie_hill","2016-07"
"186",55.9716,-3.35355,"craigie_hill","2016-07"
"187",55.97144,-3.35368,"craigie_hill","2016-07"
"188",55.97106,-3.35383,"craigie_hill","2016-07"
"189",55.97075,-3.35314,"craigie_hill","2016-07"
"190",55.97063,-3.35329,"craigie_hill","2016-07"
"191",55.97008,-3.35371,"craigie_hill","2016-07"
"192",55.96979,-3.35394,"craigie_hill","2016-07"
"193",55.96931,-3.35425,"craigie_hill","2016-07"
"194",55.96899,-3.35457,"craigie_hill","2016-07"
"195",55.96859,-3.35468,"craigie_hill","2016-07"
"196",55.96829,-3.35488,"craigie_hill","2016-07"
"A1",55.96651,-3.31779,"almond_river","2008-12"
"A2",55.96678,-3.318,"almond_river","2008-12"
"A3",55.96716,-3.31773,"almond_river","2008-12"
"A4",55.96741,-3.31748,"almond_river","2008-12"
"A5",55.96772,-3.31719,"almond_river","2008-12"
"A6",55.96798,-3.31684,"almond_river","2008-12"
"A7",55.96815,-3.31658,"almond_river","2008-12"
"A8",55.96855,-3.31627,"almond_river","2008-12"
"A9",55.96883,-3.31604,"almond_river","2008-12"
"A10",55.96916,-3.31571,"almond_river","2008-12"
"A11",55.96945,-3.31543,"almond_river","2008-12"
"A12",55.9697,-3.31515,"almond_river","2008-12"
"A13",55.97004,-3.31471,"almond_river","2008-12"
"A14",55.9703,-3.31431,"almond_river","2008-12"
"A15",55.97058,-3.3139,"almond_river","2008-12"
"A16",55.971,-3.31373,"almond_river","2008-12"
"A17",55.97096,-3.31331,"almond_river","2008-12"
"A18",55.97122,-3.31287,"almond_river","2008-12"
"A19",55.97144,-3.31238,"almond_river","2008-12"
"A20",55.97182,-3.3122,"almond_river","2008-12"
"A21",55.97211,-3.31191,"almond_river","2008-12"
"A22",55.97252,-3.31164,"almond_river","2008-12"
"A23",55.97263,-3.31145,"almond_river","2008-12"
"A24",55.97252,-3.31242,"almond_river","2008-12"
"A25",55.97224,-3.31262,"almond_river","2008-12"
"A26",55.97187,-3.31282,"almond_river","2008-12"
"A27",55.97161,-3.31292,"almond_river","2008-12"
"A28",55.97139,-3.3134,"almond_river","2008-12"
"A29",55.97288,-3.31257,"almond_river","2008-12"
"A30",55.97314,-3.31146,"almond_river","2008-12"
"A31",55.97345,-3.31104,"almond_river","2008-12"
"A32",55.97365,-3.31063,"almond_river","2008-12"
"A33",55.97387,-3.31015,"almond_river","2008-12"
"A34",55.974,-3.30957,"almond_river","2008-12"
"A35",55.97424,-3.3087,"almond_river","2008-12"
"A36",55.9746,-3.30782,"almond_river","2008-12"
"A37",55.97472,-3.3074,"almond_river","2008-12"
"A38",55.97477,-3.3066,"almond_river","2008-12"
"A39",55.97496,-3.30612,"almond_river","2008-12"
"A40",55.97507,-3.30554,"almond_river","2008-12"
"A41",55.97529,-3.30526,"almond_river","2011-03"
"A42",55.97542,-3.30463,"almond_river","2011-03"
"A43",55.9754,-3.30421,"almond_river","2011-03"
"A44",55.9756,-3.30374,"almond_river","2011-03"
