YEAR,BOXR,BOXOR,FID,GS,PAIR ID,RING,EXP,EPP,SEX,MASS11,MASS12,MASS14,RTARS14,PHA
2011,BS54B,BO6-,1ER03628,-0.106594636,110015,1ER02094,experimental nests,0,M,8.6,8.7,9.6,15.9,2.3333333
2011,BS54B,BO6-,1ER03628,-0.106594636,110015,1ER02099,experimental nests,0,M,8.3,8.3,8.7,16.4,2.6333333
2011,BO6-,BO6-,1ER03628,-0.106594636,110015,1ER02081,control nest,0,F,7.9,7.9,8.4,15.8,3.2
2011,BO6-,BO6-,1ER03628,-0.106594636,110015,1ER02082,control nest,0,M,9,10.3,10.4,16.8,4.1666667
2011,BO6-,BO6-,1ER03628,-0.106594636,110015,1ER02084,control nest,0,F,8.3,9.5,10.5,16.3,4.9
2011,BO6-,BO6-,1ER03628,-0.106594636,110015,1ER02088,experimental nests,0,F,8.9,9.8,10.2,16.6,5.2333333
2011,BO6-,BO6-,1ER03628,-0.106594636,110015,1ER02080,control nest,0,M,9.1,9.7,10.2,16.9,5.8333333
2011,BS54B,BO6-,1ER03628,-0.106594636,110015,11NO0008,experimental nests,0,M,NA,NA,NA,NA,NA
2011,BS54B,BO6-,1ER03628,-0.106594636,110015,1ER02404,experimental nests,0,F,7.4,8.1,8.9,15.6,NA
2011,BS54B,BO6-,1ER03628,-0.106594636,110015,1ER02092,experimental nests,0,F,6.4,NA,NA,NA,NA
2011,BS54B,BO6-,1ER03628,-0.106594636,110015,1ER02400,experimental nests,1,F,7.3,6.4,6.5,15,1.7333333
2011,BO6-,BO6-,1ER03628,-0.106594636,110015,1ER02089,control nest,1,M,9.1,9.8,10.4,16.7,5.3
2011,BO8,BO8,NA,-0.057928022,111016,1ER02007,experimental nests,0,NA,9.6,10,9.9,17.7,2.8333333
2011,BO8,BO8,NA,-0.057928022,111016,1ER02005,experimental nests,0,F,8.8,9.7,10.3,16.6,3.0666667
2011,BO8,BO8,NA,-0.057928022,111016,1ER02008,experimental nests,0,F,9.6,10.2,11.1,16.9,3.9
2011,BO8,BO8,NA,-0.057928022,111016,1ER02000,experimental nests,0,F,8.5,9.9,10.2,17,3.9666667
2011,OJ128,BO8,NA,-0.057928022,111016,1ER02015,control nest,0,M,10.4,10.8,11.5,17.6,4.8
2011,OJ128,BO8,NA,-0.057928022,111016,1ER02016,control nest,0,M,10.8,11.6,11.8,18.1,6.2666667
2011,OJ128,BO8,NA,-0.057928022,111016,1ER02012,control nest,0,F,10.3,11.2,11.3,16.6,6.3
2011,OJ128,BO8,NA,-0.057928022,111016,1ER02011,control nest,0,M,11,11.6,12.1,18.1,7.0333333
2011,OJ128,BO8,NA,-0.057928022,111016,1ER02017,control nest,0,M,10.8,11.5,11.8,17.9,7.3666667
2011,BO8,BO8,NA,-0.057928022,111016,11NO0080,experimental nests,0,NA,NA,NA,NA,NA,NA
2010,FO63,BS22,NA,NA,100013,1EP48072,experimental nests,NA,NA,11.3,11.8,11.8,17.5,3.1333333
2010,FO63,BS22,NA,NA,100013,1EP48082,experimental nests,NA,NA,11.8,12.4,12.5,16.2,3.2
2010,BS22,BS22,NA,NA,100013,1EP48052,control nest,NA,NA,10.4,11.1,11.1,15.5,3.2
2010,FO63,BS22,NA,NA,100013,1EP48071,experimental nests,NA,NA,12.1,12.2,12.5,16.3,3.9
2010,BS22,BS22,NA,NA,100013,1EP48058,control nest,NA,NA,10.6,11.9,11.9,16.1,4.0666667
2010,BS22,BS22,NA,NA,100013,1EP48053,control nest,NA,NA,11.3,12.1,11.7,16.7,4.2333333
2010,FO63,BS22,NA,NA,100013,1EP48070,experimental nests,NA,NA,10.8,11.5,11.4,16.1,4.2666667
2010,BS22,BS22,NA,NA,100013,1EP48054,control nest,NA,NA,10.6,12.4,11.9,15.7,6.1
2010,FO63,BS22,NA,NA,100013,1EP48078,experimental nests,NA,NA,11.5,12.6,11.8,16.3,6.3
2011,BS23B,BS23B,1ER03605,-0.146955253,111014,1ER03411,experimental nests,0,M,9.9,10.5,11.2,15.1,3.0333333
2011,BS23B,BS23B,1ER03605,-0.146955253,111014,1ER03413,experimental nests,0,F,8.9,9.6,10.2,16.2,5.2333333
