LOCATION,DATE,SPECIES,RING,AGE,SEX,TARS
CAN CALOPA,5/10/96,Erithacus rubecula,L092566,4,,23.99
CAN CALOPA,29/10/96,Erithacus rubecula,L103228,4,,24.01
CAN CALOPA,4/11/96,Erithacus rubecula,L103285,4,,24.05
CAN CALOPA,23/10/96,Erithacus rubecula,L103132,4,,24.09
CAN CALOPA,18/11/96,Erithacus rubecula,L103336,4,,24.14
CAN CALOPA,13/12/96,Erithacus rubecula,L103337,4,,24.24
CAN CALOPA,16/10/96,Erithacus rubecula,L092649,4,,24.32
CAN CALOPA,18/10/96,Erithacus rubecula,L092689,4,,24.38
CAN CALOPA,25/10/96,Erithacus rubecula,L103174,4,,24.4
CAN CALOPA,26/10/96,Erithacus rubecula,L103207,4,,24.44
CAN CALOPA,4/11/96,Erithacus rubecula,L103297,4,,24.45
CAN CALOPA,8/11/96,Erithacus rubecula,L103302,4,,24.46
CAN CALOPA,29/10/96,Erithacus rubecula,L103239,4,,24.53
CAN CALOPA,4/11/96,Erithacus rubecula,L103288,4,,24.53
CAN CALOPA,23/10/96,Erithacus rubecula,L103134,4,,24.59
CAN CALOPA,23/10/96,Erithacus rubecula,L103117,4,,24.7
CAN CALOPA,16/10/96,Erithacus rubecula,L092646,4,,24.71
CAN CALOPA,9/10/96,Erithacus rubecula,L092623,4,,24.72
