"id" "sex" "hatchisland" "hatchyear" "year" "month" "day" "island" "age" "tarsus" "wing" "billD" "billL" "mass" "totalbadge" "visiblebadge"
79 1 27 1998 2002 6 25 27 4 20.05 79.86 8.36 13.69 35.4 NA NA
79 1 27 1998 2003 5 16 27 5 20.09 80 8.2 13.5 33.3 NA NA
79 1 27 1998 2002 8 3 27 4 20.2 77 8.53 14.25 30.2 NA NA
80 1 27 1998 1999 8 1 27 1 19.4 76.86 7.74 14.59 32.7 NA NA
80 1 27 1998 2000 5 24 27 2 19.3 79.86 8.26 14.59 31.6 NA NA
80 1 27 1998 1999 6 5 27 1 19.4 77.86 7.94 14.19 32.8 NA NA
81 1 27 1998 1999 6 6 27 1 19.9 77.86 8.14 14.89 32.2 NA NA
82 0 27 1998 1999 7 26 27 1 20.3 78.86 8.34 14.09 30.9 21.36515855 17.82890911
82 0 27 1998 1999 6 6 27 1 20.2 79.86 8.24 13.79 30.9 21.36515855 18.85921525
82 0 27 1998 2000 8 6 27 2 20.48 81.83 8.39 14.53 31.2 20.46142713 17.35569071
83 0 38 1998 1999 7 13 38 1 20.1 79.86 7.74 13.19 27.9 20.46142713 17.90446872
83 0 38 1998 2000 6 8 38 2 20 80.86 7.86 13.19 28.2 20.89665045 15.21413816
84 0 27 1998 2000 8 6 27 2 20.2 81.86 8.56 14.89 32.3 20.89665045 18.3757993
84 0 27 1998 1999 7 6 27 1 19.8 83 8.4 14.3 30.2 21.30187785 17.56189056
85 1 27 1999 2001 7 26 27 2 19.2 77.26 8.04 12.99 28.8 NA NA
85 1 27 1999 2002 7 7 27 3 19.3 77 7.7 13.41 29.6 NA NA
85 1 27 1999 2000 5 15 27 1 19.2 77 7.7 12.7 32.5 NA NA
85 1 27 1999 2002 7 18 27 3 19.19 78 7.8 13 29 NA NA
85 1 27 1999 2000 7 28 27 1 19.2 77 7.8 13.3 28 NA NA
85 1 27 1999 2001 6 8 27 2 19.28 77.83 7.59 13.13 29.8 NA NA
85 1 27 1999 2002 7 9 27 3 19.4 77 7.9 12.71 30.4 NA NA
86 1 27 1999 2003 7 21 27 4 19.85 80 8.5 13.7 31.8 NA NA
86 1 27 1999 2001 7 1 27 2 19.9 78.86 8.56 13.79 34 NA NA
86 1 27 1999 2000 6 15 27 1 19.9 79 8.3 13.4 32.1 NA NA
87 0 38 1999 2000 5 23 38 1 19.68 79.83 8.39 14.23 30.8 20.30689538 14.18872792
91 1 38 1999 2004 7 6 38 5 17.73 78.59 8.13 14.06 29.2 NA NA
91 1 38 1999 2005 8 10 38 6 17.79 79.57 8.2 14.2 31.5 NA NA
91 1 38 1999 2001 7 19 38 2 17.6 79 7.9 13.8 28.5 NA NA
91 1 38 1999 2000 8 1 38 1 17.9 77 8 13.8 27.2 NA NA
91 1 38 1999 2003 5 21 38 4 17.4 79.86 8.16 14.19 30.4 NA NA
91 1 38 1999 2004 5 22 38 5 17.65 79 8 14 31 NA NA
91 1 38 1999 2001 8 7 38 2 17.6 78.86 8.26 13.59 30.4 NA NA
91 1 38 1999 2004 5 22 38 5 17.61 78.59 8.23 14.06 31 NA NA
92 1 38 1999 2000 6 8 38 1 20.3 77.86 8.06 13.69 33.1 NA NA
94 0 38 1999 2005 6 20 38 6 20.67 83.57 8.5 13.7 32.5 19.42343945 17.10760065
94 0 38 1999 2002 6 17 38 3 20.36 81.86 8.56 13.89 33.2 22.23218388 16.54599649
94 0 38 1999 2004 7 14 38 5 20.5 82.86 8.56 13.79 32.4 21.30187785 19.56195287
95 0 38 1999 2001 5 18 38 2 20 83.86 8.46 13.29 30.6 20.01674299 15.95054858
95 0 38 1999 2001 7 19 38 2 19.9 83 8.4 13.4 32.5 18.02969772 15.96464845
96 1 38 1999 2005 5 12 38 6 19.99 81 8.3 13.9 32.8 NA NA
96 1 38 1999 2001 8 7 38 2 20.1 80.86 8.46 14.49 31.2 NA NA
97 0 27 1999 2000 8 6 27 1 20.68 80.83 7.69 13.83 34.5 20.03921156 15.95054858
97 0 27 1999 2000 5 24 27 1 20.5 78.86 8.26 13.29 31 20.68018375 15.39058154
98 1 27 1998 1999 7 25 27 1 19.5 78 8 14.3 28.3 NA NA
99 0 36 1999 2000 7 11 27 1 19.4 83 8.3 13.7 31 20.68018375 19.06095486
99 0 36 1999 2001 6 9 27 2 19.48 84.83 8.29 14.53 31.6 21.90593527 17.66408786
100 0 27 1999 2006 8 12 27 7 20.51 81.7 8.26 15.49 35 20.89665045 18.85921525
100 0 27 1999 2006 5 15 27 7 20.35 83.48 8.18 14.23 NA 21.90593527 17.67682098
100 0 27 1999 2006 5 15 27 7 20.45 82.92 8.05 14.28 NA 22.07985507 17.66408786
100 0 27 1999 2006 5 25 27 7 20.46 82.43 8.03 14.96 32 23.00804207 16.54599649
100 0 27 1999 2001 7 29 27 2 20.6 82.26 8.64 14.09 32.4 23.06664258 19.79065436
100 0 27 1999 2004 8 8 27 5 20.29 82.7 8.46 14.49 30.6 22.78201045 21.40724177
100 0 27 1999 2004 8 3 27 5 20.59 80.85 8.1 14.02 30.6 19.42343945 18.30218566
100 0 27 1999 2001 7 1 27 2 20.4 80.86 7.96 14.19 32.6 21.94698157 19.60790657
100 0 27 1999 2006 5 15 27 7 20.35 82 8.04 14.25 31 20.68018375 18.3757993
101 1 27 1999 2000 5 15 27 1 18.7 77 8.1 13.4 37.5 NA NA
101 1 27 1999 2001 7 31 27 2 19.2 78.26 8.64 13.49 31 NA NA
101 1 27 1999 2004 6 15 27 5 18.67 74.59 8.33 13.26 31.9 NA NA
101 1 27 1999 2001 6 9 27 2 18.88 77.83 8.19 13.33 32.9 NA NA
101 1 27 1999 2004 8 6 27 5 19.13 75.85 8.3 13.12 35.2 NA NA
NA 1 27 1999 2001 6 8 27 2 18.98 79.83 7.59 14.43 29.7 NA NA
NA 1 27 1999 2000 8 6 27 1 19.08 79.83 7.89 14.03 28 NA NA
102 1 27 1999 2000 5 15 27 1 19.4 77 7.9 13.9 34 NA NA
102 1 27 1999 2000 6 15 27 1 19.6 76.86 8.06 14.39 31.1 NA NA
102 1 27 1999 2002 7 7 27 3 19.7 77 8.3 14.31 33 NA NA
103 0 27 1999 2001 7 26 27 2 19.4 80.86 8.06 13.29 30.2 20.99333227 17.90446872
104 0 27 1999 2001 6 8 27 2 19.5 84.26 8.14 14.19 30.9 20.3732668 15.76610288
104 0 27 1999 2000 8 6 27 1 19.78 82.83 8.09 14.43 30.7 20.89665045 15.36131505
104 0 27 1999 2001 7 29 27 2 19.4 82.86 7.86 15.39 30.5 20.01674299 15.76610288
104 0 27 1999 2000 5 15 27 1 19.5 82 7.9 13.9 31 19.83607824 14.87010424
105 0 27 1999 2002 7 7 27 3 20.4 81 8.4 13.71 33.5 20.01674299 16.78898448
105 0 27 1999 2004 8 6 27 5 20.27 80.85 8.2 13.42 38.2 20.24030632 19.33054578
105 0 27 1999 2000 7 11 27 1 20.3 82 8.3 13.6 34.5 19.83607824 18.42471167
106 0 27 2000 2001 6 9 27 1 18.88 80.83 8.19 13.13 30.4 20.35116704 15.83729775
106 0 27 2000 2001 7 26 27 1 18.6 80.26 8.34 13.79 31 19.28393113 17.0020587
107 1 27 2000 2001 6 2 27 1 20 80.86 8.46 15.19 33.6 NA NA
107 1 27 2000 2002 6 25 27 2 19.8 80.86 8.46 14.99 30.7 NA NA
107 1 27 2000 2002 7 11 27 2 19.85 81 8.3 14.9 35.5 NA NA
107 1 27 2000 2001 6 2 27 1 20 82.26 8.44 14.99 33.1 NA NA
109 1 27 2000 2001 6 9 27 1 19.58 75.83 7.99 13.83 32.3 NA NA
111 0 38 1999 2000 7 18 38 1 19.28 82.83 8.39 14.03 30.5 21.30187785 16.73529205
111 0 38 1999 2000 6 8 38 1 19 82.86 8.56 13.99 30.4 22.20180173 19.00184202
112 0 60 2000 2003 2 12 60 3 19.8 82.7 8.16 13.49 30.8 20.46142713 15.21413816
112 0 60 2000 2002 2 20 60 2 19.8 82 8.2 13.5 30.6 20.15117863 15.39058154
114 1 26 2001 2006 8 7 27 5 20.15 79.7 8.76 14.69 34.7 NA NA
114 1 26 2001 2002 7 7 27 1 20.1 79 8.5 14.71 30.9 NA NA
114 1 26 2001 2004 8 8 27 3 20.03 79.61 8.4 14.59 34.3 NA NA
