BANDNO,NESTNO,YEAR,SEX,PATERNITY,TARSUS,HEMATOCRIT,PHA,MASS
234022277,82,2004,FEMALE,WITHIN,.,.,0.080,9.2
234022278,82,2004,FEMALE,WITHIN,.,.,0.233,9.5
234022279,82,2004,MALE,EXTRA,.,.,0.253,10.1
234022280,82,2004,FEMALE,EXTRA,.,.,0.000,9.1
237034751,83,2004,MALE,WITHIN,16.9,.,0.733,8.6
237034752,83,2004,MALE,EXTRA,18.0,.,0.683,9.2
237034753,83,2004,MALE,WITHIN,18.4,.,0.863,10.0
237034818,84,2004,FEMALE,WITHIN,18.4,.,0.947,10.6
237034819,84,2004,MALE,WITHIN,18.2,.,0.750,10.0
237034820,84,2004,FEMALE,WITHIN,17.9,.,1.057,10.5
237034821,84,2004,FEMALE,WITHIN,18.5,.,0.850,10.5
237034954,85,2004,MALE,EXTRA,18.8,40,0.627,10.5
237034955,85,2004,MALE,EXTRA,18.3,34,0.487,9.9
237034956,85,2004,FEMALE,EXTRA,18.7,41,0.767,11.5
237034590,86,2004,FEMALE,.,18.8,41,0.960,10.3
237034592,86,2004,MALE,.,18.7,48,0.753,10.5
237034593,86,2004,FEMALE,.,18.1,47,0.643,10.0
237034594,86,2004,MALE,.,18.7,47,0.983,10.4
