NEST,CS,E1D,BD0,NY4,NY11,BANDNUM,RECRUIT,MASS11,TARSUS11,HCT11,BLEED_TIME,BLEED_TIME2,SAMPLE_TIME_SEC,PLASMA_VOL_uL,PLASMA_CORT_ngml,LOG_CORT_NGML,CHANGE_IN_CORT_ngml,LOG_CHANGE_ngml,EIA_PLATE,NFATE,TDAY,FEM_TREAT,MWS_INITIATED,MW_DAYS,SWAP_NEST,NESTLING_TREAT,BIOL_MOTHER,BIOL_MOTHER_MASS,BIOL_MOTHER_TARSUS,FBAND,FEM_MASS_DAY,FEM_MASS_HR,FEM_MASS,FEM_TARSUS,NOTES
T 21-1,8,140,158,5,5,197036948,0,9.9,17.6,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
T 21-1,8,140,158,5,5,197036947,0,10.1,18.2,42,30,3,.,14,29.48099793,1.484029181,.,.,6,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
T 21-1,8,140,158,5,5,197036946,0,10.3,18.2,43,15,2,.,5,17.19944343,1.260058107,.,.,6,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
T 21-1,8,140,158,5,5,197036945,0,9.8,18.1,53.3,0,1,180,4,.,.,.,.,4,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
T 21-1,8,140,158,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
T 21-1,8,140,158,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
T 18-1,6,145,162,6,6,197037088,0,10.3,19.2,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,1,Z  6-1,NAT,197035854,12.7,19.1,197035878,159,7,12.1,19.1,.
T 18-1,6,145,162,6,6,197037087,0,10.1,18.6,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,1,Z  6-1,NAT,197035854,12.7,19.1,197035878,159,7,12.1,19.1,.
T 18-1,6,145,162,6,6,197037086,0,10,18.8,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,1,Z  6-1,NAT,197035854,12.7,19.1,197035878,159,7,12.1,19.1,.
T 18-1,6,145,162,6,6,197037085,0,10,18.7,41,15,2,.,32,13.80916266,1.170530503,13.80916266,1.376744122,2,success,178,EXP,144,1,Z  6-1,NAT,197035854,12.7,19.1,197035878,159,7,12.1,19.1,.
