NestBox,FemaleNumber,YoungOrigin,MWStartDate,MWEndDate,MaternalEffect,E1D,BD0,BD2Mass,BD4Mass,BD4YgN,BD11Mass,BD11Tarsus,BD11Wing,NestlingNumber,RECRUIT,MaternalID,MadeToFledging,TimeInNest
U5-1,197035902,CON,186,192,EXP,188,204,1.3,2.9,3,9.1,18.2,26,275086000,0,197036616,221,17
E6-1,197036616,EXP,182,191,CON,186,204,2.7,5.4,5,10.6,18.8,35.5,197037260,0,197035902,219,15
E6-1,197036616,EXP,182,191,CON,186,204,2.7,4.9,5,10.4,19.3,36.5,197037262,0,197035902,219,15
E6-1,197036616,CON,186,192,CON,188,204,2.4,4.9,5,9.4,19,31.5,197037261,0,197036616,219,15
E6-1,197036616,CON,186,192,CON,188,204,2.3,4.3,5,10.2,19.1,31,197037263,0,197036616,219,15
E6-1,197036616,CON,186,192,CON,188,204,2.6,5.2,5,10.4,19.7,32.5,197037264,0,197036616,219,15
C2-1,270047204,EXP,186,193,EXP,189,205,2.5,5.1,5,11.3,19.4,33,197037266,0,270047204,220,15
C2-1,270047204,EXP,186,193,EXP,189,205,2.7,5.2,5,10.4,19.3,32.5,197037268,0,270047204,220,15
C2-1,270047204,EXP,186,193,EXP,189,205,2.5,5.1,5,10.6,19.6,31.5,197037270,0,270047204,220,15
C2-1,270047204,CON,187,193,EXP,189,205,2.6,5.1,5,10.1,18.6,31.5,197037267,0,275085786,220,15
C2-1,270047204,CON,187,193,EXP,189,205,2.6,4.9,5,10.1,19.5,32,197037269,0,275085786,220,15
A6-3,275085786,EXP,186,193,CON,189,205,2.1,4.4,4,11,19.7,31.5,197037274,0,270047204,221,16
A6-3,275085786,EXP,186,193,CON,189,205,1.6,3.6,4,11,19.1,30,197037272,0,270047204,221,16
A6-3,275085786,CON,187,193,CON,189,205,2.3,4.6,4,10.8,18.8,32,197037271,0,275085786,221,16
A6-3,275085786,CON,187,193,CON,189,205,.,.,4,.,.,.,.,.,275085786,.,.
A6-3,275085786,CON,187,193,CON,189,205,2.2,4.5,4,11.9,19,32,197037273,0,275085786,221,16
F18-1,270046200,EXP,186,194,EXP,189,206,.,.,5,.,.,.,.,.,270046200,.,.
F18-1,270046200,EXP,186,194,EXP,189,206,2.2,4.6,5,9.6,18.9,31.5,197037497,1,270046200,221,15
F18-1,270046200,EXP,186,194,EXP,189,206,1.7,3.3,5,9.7,18.3,29.5,197037493,0,270046200,221,15
F18-1,270046200,CON,.,.,EXP,188,205,1.9,4.6,5,9.1,17.2,30,197037495,0,197036403,221,16
F18-1,270046200,CON,.,.,EXP,188,205,2.5,5.1,5,8.5,17.9,34.5,197037494,0,197036403,221,16
F18-1,270046200,CON,.,.,EXP,189,206,2.3,4.7,5,10.1,19,34,197037496,0,270047102,221,15
NF4-2,197036403,EXP,186,194,CON,189,206,2.6,6.6,6,9.1,18.2,34.5,197037196,0,270046200,218,12
NF4-2,197036403,EXP,186,194,CON,189,206,2.8,5,6,8.9,18.4,29.5,197037198,0,270046200,218,12
NF4-2,197036403,EXP,186,194,CON,189,206,2.6,5.1,6,9.7,19.2,32,197037200,0,270046200,218,12
NF4-2,197036403,CON,.,.,CON,188,205,3,4.8,6,8.7,18.4,30.5,197037199,0,197036403,218,13
NF4-2,197036403,CON,.,.,CON,188,205,3.4,5.7,6,8.5,17.4,33,197037788,0,197036403,218,13
NF4-2,197036403,CON,.,.,CON,188,205,3.4,5.8,6,9,18.8,34,197037197,0,197036403,218,13
K10-1,197036324,EXP,186,194,EXP,189,206,2.9,4.7,6,8.2,18.7,30,197037491,0,197036324,220,14
K10-1,197036324,EXP,186,194,EXP,189,206,2.7,4.5,6,8.7,17.6,35,197037487,0,197036324,220,14
K10-1,197036324,EXP,186,194,EXP,189,206,2.8,5.1,6,9.4,18.4,34,197037490,0,197036324,220,14
K10-1,197036324,CON,.,.,EXP,189,205,2.6,4.1,6,9.4,18,31,197037492,0,197035569,220,15
K10-1,197036324,CON,.,.,EXP,189,205,3.3,5.5,6,10.2,18.5,34.5,197037488,0,197035569,220,15
K10-1,197036324,CON,.,.,EXP,189,205,3,5.1,6,9.5,18.2,35,197037489,0,197035569,220,15
R31-1,197035569,EXP,186,194,CON,189,206,1.4,3.1,6,8.1,17.2,28.5,197035978,0,197036324,222,16
R31-1,197035569,EXP,186,194,CON,189,206,2.4,5.1,6,9.2,18.6,31.5,197035976,0,197036324,222,16
R31-1,197035569,EXP,186,194,CON,189,206,2.2,4.5,6,9,19.1,33.5,197035980,0,197036324,222,16
R31-1,197035569,CON,.,.,CON,189,205,2.2,5.8,6,9.9,18.3,34,197035979,0,197035569,222,17
R31-1,197035569,CON,.,.,CON,189,205,2.5,4.8,6,9.6,18.2,32,197035975,0,197035569,222,17
R31-1,197035569,CON,.,.,CON,189,205,2.2,4.8,6,8.8,17.8,30.5,197035977,0,197035569,222,17
C13-1,197035927,EXP,190,197,EXP,193,209,3.2,6.6,5,10.8,18.9,33.5,197037289,0,197035927,223,14
C13-1,197035927,EXP,190,197,EXP,193,209,3.6,6.7,5,11.2,19.5,32.5,197037290,0,197035927,223,14
C13-1,197035927,EXP,190,197,EXP,193,209,2.7,5.8,5,10.5,19.9,34.5,197037288,0,197035927,223,14
C13-1,197035927,CON,191,198,EXP,193,209,2.3,4.8,5,10.3,19.3,32.5,197037287,0,197035916,223,14
C13-1,197035927,CON,191,198,EXP,193,209,2.3,5.3,5,10.9,20,33,197037291,0,197035916,223,14
K7-1,197035916,EXP,190,197,CON,193,209,1.7,3.7,5,9.8,19.5,28,197037283,0,197035927,224,15
K7-1,197035916,EXP,190,197,CON,193,209,2.3,4.8,5,10.7,19.4,30.5,197037285,0,197035927,224,15
K7-1,197035916,CON,191,198,CON,193,209,1.4,3,5,9.3,18.3,27,197037284,0,197035916,224,15
K7-1,197035916,CON,191,198,CON,193,209,2.3,4.8,5,9.2,19.3,31.5,197037286,0,197035916,224,15
K7-1,197035916,CON,191,198,CON,193,209,1.8,4.4,5,.,.,.,.,.,197035916,.,.
B5-1,197036120,EXP,189,197,EXP,192,209,1.2,2.9,6,8.6,18.4,26.5,197037297,0,197036120,225,16
B5-1,197036120,EXP,189,197,EXP,192,209,2,4.4,6,10.4,19.2,30.5,197037293,0,197036120,225,16
B5-1,197036120,EXP,189,197,EXP,192,209,2.6,5,6,10,19.4,33,197037295,0,197036120,225,16
B5-1,197036120,CON,.,.,EXP,190,208,1.9,4.1,6,9.6,19.1,33,197037292,0,270047100,225,17
B5-1,197036120,CON,.,.,EXP,190,208,3.1,5.9,6,9.3,18.6,35,197037294,0,270047100,225,17
B5-1,197036120,CON,.,.,EXP,190,208,3.3,6.3,6,9.5,18.7,34,197037296,0,270047100,225,17
Z12-1,270047100,EXP,189,197,CON,192,209,2.6,3.8,6,9.4,19.2,33,197036682,0,197036120,224,15
Z12-1,270047100,EXP,189,197,CON,192,209,2.8,5,6,9.8,18.9,33,197036683,0,197036120,224,15
Z12-1,270047100,EXP,189,197,CON,192,209,2.8,5.1,6,9.5,18.6,34,197036684,0,197036120,224,15
Z12-1,270047100,CON,.,.,CON,190,208,3.7,6.6,6,8.9,18.3,38,197036685,0,270047100,224,16
Z12-1,270047100,CON,.,.,CON,190,208,4.4,7.3,6,9.1,18.2,38,197036681,0,270047100,224,16
Z12-1,270047100,CON,.,.,CON,190,208,3.2,5.8,6,9.8,19.2,36.5,197036680,1,270047100,224,16
