habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
urb,5,2,04/05/15,08:25,2,74.5,16.9,19.92,AC,61,2504
urb,7,2,23/04/14,09:16,2,72,17.1,19.27,VD,61,2520
urb,7,1,23/04/14,09:25,2,75,16.5,20.03,VD,63,2521
urb,7,1,24/04/14,09:36,2,76,16.9,19.8,AC,62,2530
urb,0,1,08/05/15,11:35,2,76,16.9,19.7,SP,65.5,2530
urb,5,2,24/04/14,12:30,1,73,18.2,19.26,AC,62,2545
urb,5,2,29/04/15,14:50,2,74,17.8,19.03,SP,64,2545
urb,8,1,24/04/14,14:00,1,73.5,17,20.49,AC,59,2555
urb,6,1,12/05/15,13:15,2,73,16.8,19.99,AC,61,2555
urb,2,2,25/04/14,08:42,1,72,16.7,19.65,AC,59,2569
urb,7,2,01/05/15,13:15,2,73.5,17,19.54,SP,62,2569
urb,2,1,25/04/14,08:55,1,71,,19.53,AC,62,2580
urb,1,2,25/04/14,09:05,1,70,16.7,19.39,AC,59,2582
urb,3,1,27/04/14,11:30,1,74.5,17.2,20.55,AC,63.5,2586
urb,7,1,22/05/15,09:30,2,75.5,17.2,20.58,AC,66,2586
urb,3,2,27/04/14,11:50,1,72.5,17,19.95,AC,60,2596
urb,5,2,28/04/14,10:25,1,70,16,19.74,AC,60,2605
urb,4,2,22/04/16,08:50,2,72,16.1,19.55,AC,60.5,2605
urb,1,1,28/04/14,11:35,2,76,17.3,19.82,AC,63,2613
urb,1,2,28/04/14,12:00,1,66.5,17,18.91,AC,58,2617
urb,6,1,28/04/14,13:44,1,76.5,16.6,20.86,AC,65,2624
rur,8,2,02/05/14,09:35,1,71.5,15.2,19.02,AC,58,2630
rur,8,1,28/04/14,10:35,2,76,16,20.05,AC,63,2631
rur,8,1,09/05/16,10:58,2,78,16.8,19.99,AC,64,2631
urb,5,1,30/04/14,10:10,1,75,16.5,20.39,AC,62,2645
urb,0,2,30/04/14,13:30,2,73,15.6,19.18,VD,57,2648
urb,0,2,01/05/15,10:20,2,72,16.6,18.68,VD,59,2648
urb,0,1,30/04/14,13:50,2,77,16.1,19.74,VD,64,2654
urb,8,2,01/05/14,09:50,1,73.5,16.5,20.09,AC,58.5,2658
rur,7,2,02/05/14,09:10,1,73,17,19.52,VD,59,2666
rur,7,2,13/05/15,09:45,2,75,16.1,19.74,SP,62,2666
rur,8,2,09/05/16,10:08,2,75,17,19.77,AC,61,2666
rur,8,2,28/04/14,11:00,1,72,15.8,19.17,AC,65,2678
rur,3,2,02/05/14,12:48,1,73,17.5,20.27,AC,60,2679
rur,3,1,02/05/14,13:30,2,76,16,20.03,VD,64,2684
rur,3,1,20/05/15,10:30,2,78,16.5,19.98,VD,66,2684
urb,5,2,05/05/14,09:07,1,71.5,15.9,19.262,AC,59,2697
urb,6,2,12/05/15,11:40,2,72,16.3,18.93,AC,61,2697
urb,5,1,05/05/14,09:21,1,74,16.5,20.06,AC,64,2706
urb,6,1,12/05/15,12:35,2,77,17.7,19.88,AC,66,2706
urb,0,1,05/05/14,10:15,1,73,16.8,20.64,AC,64,2713
urb,8,1,15/05/15,10:40,2,75,16.1,19.94,VD,64,2713
rur,4,2,06/05/14,08:55,1,72,15.5,19.24,AC,63,2722
rur,7,1,06/05/14,10:10,1,73.5,16.4,19.75,AC,66,2729
rur,4,2,06/05/14,10:35,1,72,19.49,19.58,AC,60.5,2731
rur,4,1,06/05/14,10:45,,79,19.86,19.87,AC,67,2739
rur,0,1,13/05/15,09:35,2,78.5,17.5,19.68,SP,,2739
rur,3,1,06/05/14,11:14,2,75.5,20.38,20.55,AC,66,2750
rur,3,2,06/05/14,11:26,2,73,19.16,19.1,AC,62,2753
rur,8,1,06/05/14,13:53,2,78,16.7,18.98,AFA,,2757
rur,9,2,06/05/14,14:06,1,71,15.6,19.75,AFA,62,2758
rur,10,1,06/05/14,14:14,2,75,17.3,21.02,AC,61,2762
rur,10,2,06/05/14,15:20,1,72,16.3,20.14,AC,58,2770
rur,8,2,20/05/15,10:55,2,74,16.5,19.9,SP,67,2770
urb,7,1,07/05/14,10:02,1,72,17.4,19.68,AC,60,2781
urb,0,2,07/05/14,10:40,1,75,16.4,19.67,AC,60,2786
urb,4,1,08/05/14,09:39,2,73.5,15.5,19.33,AC,59,2788
urb,3,1,08/05/14,09:48,2,74.5,16.4,19.75,AC,59,2789
urb,3,2,08/05/14,10:07,1,71,17.1,19.83,AC,59.5,2790
urb,8,2,08/05/14,11:39,1,70,16,19.71,AC,59,2791
