BirdID,BloodID,LayYear,AgeClass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,FoodFP,SpaceTQ
4894,3778,2006,SA,25/07/2007,1,82,4241,ABX,16.2,07/09/2008,71,0.902,1.098,0.92283123,2007,7,2008,1,9,1,1,1,Yes,2,Males,25.4,3405.57,8.133167605,Low food availability,9,8,12791.71
4910,3772,2006,SA,24/07/2007,0,82,4296,ABX,13.7,18/09/2009,168,0.902,1.098,0.721322052,2007,7,2009,1,9,2,2,1,Yes,3,Females,23.4,7748.23,8.955219709,Low food availability,9,8,39560.78
4915,3814,2006,SA,18/08/2007,1,82,4254,ABX,17,16/09/2007,86,0.902,1.098,0.728192213,2007,8,2007,1,9,0,0,0,No,1,Males,25.6,2579.74,7.855443898,Low food availability,9,8,7239.03
5077,3474,2007,FL,25/07/2007,1,82,4243,OFL,14.5,04/10/2014,72,0.6939,1.3061,0.733085761,2007,7,2014,0,3,7,4+,1,Yes,7,Males,24.7,5124.47,8.541782384,Low food availability,9,8,18354.98
4879,4112,2006,SA,16/06/2007,1,82,4303,ABX,16.2,21/02/2008,179,0.902,1.098,0.770125379,2007,6,2008,1,9,1,1,1,Yes,2,Males,25.8,8096.14,8.999142684,Low food availability,9,8,8656.62
4912,3813,2006,SA,18/08/2007,0,82,4254,ABX,15.1,07/09/2008,86,0.8327,1.1673,0.817254884,2007,8,2008,1,9,1,1,1,Yes,2,Females,23.6,2579.74,7.855443898,Low food availability,9,8,7239.03
4884,3787,2006,SA,27/07/2007,1,82,4259,ABX,15.9,16/09/2007,93,1.3184,0.6816,0.831962961,2007,7,2007,1,9,0,0,0,No,1,Males,26.6,2063.07,7.631950444,Low food availability,9,8,4248.87
4892,3780,2006,SA,26/07/2007,1,82,4243,ABX,16.1,04/03/2014,72,0.6939,1.3061,0.992901717,2007,7,2014,1,9,7,4+,1,Yes,8,Males,25.7,5124.47,8.541782384,Low food availability,9,8,18354.98
4917,3822,2006,SA,22/08/2007,0,82,4195,ABX,14.2,04/10/2014,9,1.0408,0.9592,0.863472757,2007,8,2014,1,9,7,4+,1,Yes,8,Females,24.5,6272.82,8.743981293,Low food availability,9,8,23258.14
5116,3817,2006,SA,20/08/2007,1,82,4285,ABX,16.6,29/02/2012,137,1.0408,0.9592,1.170109922,2007,8,2012,1,9,5,4+,1,Yes,6,Males,26.3,7666.9,8.944667641,Low food availability,9,8,12597.94
5099,3496,2006,SA,04/08/2007,1,82,4201,ABX,17,18/09/2009,16,0.9714,1.0286,1.001209385,2007,8,2009,1,9,2,2,1,Yes,3,Males,25.8,11945.51,9.388110755,Low food availability,9,8,15366.17
