BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,MumHz,MumHomo,DadHz,DadHomo,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,SpaceTQ,Food,LayYearFood,MeanAdultFood,PropCovered
1187,3955,1996,A,13/07/2008,1,87,4499,BrM,15.5,10/09/2010,0.8327,1.1673,1.1102,0.8898,5,0.525162055,1.0408,0.9592,2008,7,2010,12,24,2,2,1,Yes,14,Males,26.8,2433.87,7.797237862,31606.99,11.5,#N/A,14.66666667,0.75
3093,3963,2004,A,16/07/2008,1,87,4523,BrM,16,29/02/2012,0.7633,1.2367,0.6939,1.3061,40,0.529677136,0.9714,1.0286,2008,7,2012,4,24,4,4+,1,Yes,8,Males,26.7,13584.07,9.516653062,14591.88,11.5,#N/A,12,1
1804,646,2003,A,30/08/2005,1,37,649,H,15.7,07/09/2008,0.7633,1.2367,1.1796,0.8204,4,0.586381363,0.8327,1.1673,2005,8,2008,2,24,3,3,1,Yes,5,Males,25.7,23039.055,10.0449461,14217.22,14,#N/A,11.5,1
1857,463,2003,A,10/06/2005,0,37,667,H,14.7,04/10/2014,0.9714,1.0286,0.8327,1.1673,28,0.548519596,0.8327,1.1673,2005,6,2014,2,24,9,4+,1,Yes,11,Females,24.4,10143.62,9.224600215,12253.02,14,#N/A,11.5,1
1187,713,1996,A,28/01/1999,1,26,2406,BrM,16,10/09/2010,0.8327,1.1673,1.1102,0.8898,7,0.555129135,1.0408,0.9592,1999,1,2010,3,24,11,4+,1,Yes,14,Males,26.6,15887.15,9.673265885,16502.03,15,#N/A,18.66666667,1
3491,4004,2005,A,16/01/2009,0,90,4149,H,14.9,04/10/2014,1.1796,0.8204,1.1102,0.8898,126,0.555363173,0.8327,1.1673,2009,1,2014,4,24,5,4+,1,Yes,9,Females,23.8,13690.47,9.524455249,12410.1,17,9,12.625,1
1494,448,1999,A,02/01/2005,1,35,2967,BrM,16.3,04/10/2014,1.1102,0.8898,0.902,1.098,140,0.561493238,1.3184,0.6816,2005,1,2014,6,24,9,4+,1,Yes,15,Males,23.9,6867.87,8.834609293,10970.67,14,20,14.16666667,0.5
2985,4187,2003,A,29/07/2008,0,87,4528,H,14.8,10/09/2010,0.6245,1.3755,0.902,1.098,47,0.563469975,0.9714,1.0286,2008,7,2010,5,24,2,2,1,Yes,7,Females,24.5,4100.84,8.31894711,24063.4,11.5,#N/A,11.25,1
1429,642,1999,A,08/09/2005,0,37,737,BrF,14,02/09/2006,1.1796,0.8204,1.0408,0.9592,134,0.569015545,1.0408,0.9592,2005,9,2006,6,24,1,1,1,Yes,7,Females,23.1,8775.16,9.079680282,10799.82,14,20,14.16666667,0.5
4875,3987,2006,A,22/07/2008,0,87,4516,ABX,14.7,18/09/2009,0.8327,1.1673,0.8327,1.1673,28,0.576513934,1.0408,0.9592,2008,7,2009,2,24,1,1,1,Yes,3,Females,23.9,3196.56,8.069830511,12253.02,11.5,13,1.25,1
