bird_id,mass,tarsus,Sex,Age
Bird-0477,19.17,20.4,Male,4+
Bird-1038,20.9,21.2,Male,1
Bird-1140,19.34,20,Unknown,juvenile
Bird-1141,20.34,20.7,Male,1+
Bird-0541,19.49,20.6,Male,+3
Bird-0362,19.35,21,Male,7+
Bird-1002,21.98,20.9,Male,1
Bird-0883,22.82,20.7,Female,2
Bird-0746,20.01,20.7,Male,2
Bird-0511,20.29,21.4,Female,3+
Bird-0339,19.86,20.8,Male,7+
Bird-0771,20.45,20.6,Male,2
Bird-0322,20.97,22,Male,7+
Bird-1140,18.43,19.5,Unknown,juvenile
Bird-0685,19.6,20.5,Male,3+
Bird-1131,21.43,20.9,Male,1+
Bird-0700,19.5,21,Male,3+
Bird-1078,22.38,20.9,Male,1+
Bird-1125,17.73,20.6,,juvenile
Bird-1154,18.66,21.5,Unknown,juvenile
Bird-1027,18.38,21.3,Male,1
Bird-1100,18.27,20,,juvenile
Bird-1085,20.01,21.2,Male,1+
Bird-1093,18.87,20.5,,juvenile
Bird-0512,22.57,21.3,Male,1
Bird-1154,17.99,22.3,Unknown,juvenile
Bird-0700,20.14,20.7,Male,3+
Bird-1103,17.88,21.2,,juvenile
Bird-1154,19.38,22,Unknown,juvenile
Bird-1092,20.42,21.6,,juvelie
Bird-0923,20.49,21.6,Female,2+
Bird-0925,20.58,21.3,Male,2+
Bird-0927,21.88,22.3,Male,2+
Bird-0105,21.57,21.3,Male,5
Bird-0997,22.03,20,Male,2+
Bird-0729,21.1,20,Male,3+
Bird-1131,21.72,20.8,Male,1+
Bird-1140,19.19,20.1,Unknown,juvenile
Bird-0268,20.96,,Female,5+
Bird-1103,17.11,20.7,,juvenile
Bird-0616,18.41,21,Female,3
Bird-0926,20.25,20.3,Male,2+
Bird-0930,21.63,22,Male,2+
Bird-1164,18.66,21.5,Unknown,juvenile
