"nestlingID","nestID","year","age","hatchdate","hatchsize","fledgedate","fledgesize","mass","tarsus","ninprim","year2"
"1983-GCDS2 nestling 5","1983-GCDS2",1983,14,159,5,178,5,20.8,,,0.6
"2003-BGF2 nestling 6","2003-BGF2",2003,15,168,5,,2,21.9,12.09,18,2.6
"2003-BGF2 nestling 7","2003-BGF2",2003,15,168,5,,2,15.4,11.82,14,2.6
"2000-NBE1 nestling 1","2000-NBE1",2000,10,154,6,177,6,18.7,,33,2.3
"1983-GCCS2 nestling 1","1983-GCCS2",1983,12,152,5,172,5,23,,,0.6
"1983-GCCS2 nestling 1","1983-GCCS2",1983,15,152,5,172,5,22.5,,,0.6
"1989-HUF1 nestling 1","1989-HUF1",1989,13,163,5,183,5,23,,32,1.2
"2000-NBE1 nestling 2","2000-NBE1",2000,10,154,6,177,6,17.1,,39,2.3
"1984-GCCS3 nestling 2","1984-GCCS3",1984,12,155,5,,4,19.7,,,0.7
"1983-GCCS2 nestling 2","1983-GCCS2",1983,12,152,5,172,5,24.5,,,0.6
"1983-GCCS2 nestling 2","1983-GCCS2",1983,15,152,5,172,5,23.8,,,0.6
"1989-HUF1 nestling 2","1989-HUF1",1989,13,163,5,183,5,22.5,,28,1.2
"2000-NBE1 nestling 3","2000-NBE1",2000,10,154,6,177,6,17.3,,36,2.3
"1984-GCCS3 nestling 3","1984-GCCS3",1984,12,155,5,,4,19.6,,,0.7
"1983-GCCS2 nestling 3","1983-GCCS2",1983,10,152,5,172,5,22.1,,,0.6
"1983-GCCS2 nestling 3","1983-GCCS2",1983,13,152,5,172,5,24.1,,,0.6
"1983-GCCS2 nestling 3","1983-GCCS2",1983,16,152,5,172,5,23.8,,,0.6
