NID,FS,ND,LD,PID,NS,SES,AGE,SE,RA,MO,BS,BSM,EC,ECM,BM,TA,FA,FE
P42,1,0,124,P42P5,0,3,,,,,,,,,,,,
P42,1,0,124,P42P5,0,4,,,,,,,,,,,,
P42,1,0,124,P42P5,0,5,,,,,,,,,,,,
M41,0,0,124,M41P1,1,1,2,,1,0,3,3,1,2,18.8,,,
M41,0,0,124,M41P1,0,2,4,,1,,3,3,1.33,2,35.7,,,
M41,0,0,124,M41P1,0,3,6,,1,,3,3,2,2,36.6,,,
M41,0,0,124,M41P1,0,4,9,,1,,3,3,1.67,2,62.5,20.9,31.2,
M41,0,0,124,M41P1,0,5,18,,1,,2,3,,2,149.6,,,48
M41,0,0,124,M41P2,1,1,2,,2,0,3,3,1,1.67,18.4,,,
M41,0,0,124,M41P2,0,2,4,,2,,3,3,1.33,1.67,34.9,,,
M41,0,0,124,M41P2,0,3,6,,2,,3,3,1.67,1.67,36.4,,,
M41,0,0,124,M41P2,0,4,9,,2,,3,3,1,1.67,68.8,19.9,30.7,
M41,0,0,124,M41P2,0,5,18,,2,,2,3,,1.67,141.5,,,49
M41,0,0,124,M41P3,1,1,1,,3,1,3,3,1,1,10.8,,,
M41,0,0,124,M41P3,0,2,3,,3,,3,3,,1,15.6,,,
M41,0,0,124,M41P3,0,3,5,,3,,3,3,0,1,17.2,,,
M41,0,0,124,M41P3,0,4,8,,3,,3,3,0.67,1,20.3,14,16.5,
M41,0,0,124,M41P3,0,5,,,,,,,,,,,,
M41,0,0,124,M41P4,0,1,,,,,,,,,,,,
M41,0,0,124,M41P4,0,2,,,,,,,,,,,,
M41,0,0,124,M41P4,0,3,,,,,,,,,,,,
M41,0,0,124,M41P4,0,4,,,,,,,,,,,,
M41,0,0,124,M41P4,0,5,,,,,,,,,,,,
M41,0,0,124,M41P5,0,1,,,,,,,,,,,,
M41,0,0,124,M41P5,0,2,,,,,,,,,,,,
M41,0,0,124,M41P5,0,3,,,,,,,,,,,,
M41,0,0,124,M41P5,0,4,,,,,,,,,,,,
