yr,area,ring,ageF,tars,tail,wing,patch,wingwhite,weight,mpatch,mwing,dam,sex
2,9,EA33694,ad,18.8,53,82,80,50,*,*,*,*,M
2,9,CA61304,ad,18.3,51,81,90,37,12.9,*,*,*,M
2,7,CA83292,ad,18,51.5,81,63,56,12.2,*,*,*,M
2,7,HA05384,ad,19.5,53,83.5,84,58,13,*,*,*,M
2,7,HA05384,ad,19.5,53,83.5,*,55,12.8,*,*,*,M
2,7,EA06264,ad,*,54,85.5,80,63,14.2,*,*,*,M
2,7,EA15564,ad,19.3,55,83.5,70,60,12.2,*,*,*,M
2,7,HA05284,ad,19.7,53,84,108,57,12.3,*,*,*,M
2,7,HA49984,juv,19.6,53.5,83,80,27,12.8,*,*,*,M
2,7,CA27192,ad,19.8,54,85,120,44,13.8,*,*,CA06192,M
2,7,HA03684,ad,19.7,54,85,90,64,*,*,*,*,M
2,7,HA05584,ad,19.1,51,84.5,54,53,12.5,*,*,*,M
2,7,HA03784,juv,19.3,52,80.5,80,25,12.5,*,*,*,M
2,7,HA98384,juv,20.5,52.5,82,88,17,13.1,*,*,*,M
2,7,HA62884,juv,19,51,80.5,72,34,12.6,*,*,*,M
2,7,HA30184,ad,19.6,54,81,48,51,13.3,*,*,*,M
2,7,EA30594,ad,19.3,51,81.5,70,39,12.9,*,*,*,M
2,7,HA00184,juv,19,52,81,56,26,12.9,*,*,*,M
2,7,HA00284,ad,18.7,52,84,80,68,13.9,*,*,*,M
2,7,EA54874,juv,19.3,50.5,80,*,16,13,*,*,EA51664,M
2,7,HA00684,juv,19.7,53,80.5,56,18,13.5,*,*,*,M
2,7,CA78092,ad,19.8,53,83.5,63,57,13.1,*,*,*,M
2,7,HA22384,juv,18.8,52,80,63,20,12.6,*,*,*,M
2,2,EA30894,juv,19.7,53,82,*,31,14,*,*,*,M
2,2,HA87984,juv,19.9,52,82,63,16,13.3,*,*,*,M
2,2,EA19764,juv,18.6,53,83,80,21,13.4,*,*,CA60204,M
2,2,CA34592,ad,20,54,87,88,50,13.8,*,*,CA18492,M
2,2,CA07292,ad,19.7,53,86,80,52,12.3,*,*,*,M
2,15,EA97274,juv,19.2,54,80,80,18,11.4,*,*,EA04264,M
2,15,EA97174,juv,19.4,51,80,90,26,12.5,*,*,EA04264,M
2,15,EA35894,juv,19.4,52.5,81.5,70,16,12.8,*,*,*,M
2,15,EA95464,juv,19.7,55,83,*,19,*,*,*,CA64204,M
