Ind_ID,Tarsus,Sex,InbreedingF,F_Gen,FBroodID
5022,18,1,0,4479,938
5023,17.7,1,0,4455,964
5024,16.9,1,0,4442,964
5025,16.7,1,0,4231,998
5026,17.5,1,0,4361,1032
5027,17.6,0,0,2058,731
5028,17,0,0.125,4407,731
5029,17.4,1,0,4486,731
5030,17,0,0,1527,768
5031,15.8,1,0,2244,812
5032,17.2,1,0,4493,976
5033,16.5,0,0,4442,938
5034,17.3,0,0,4485,938
5036,17.2,1,0,4228,1032
5037,16.3,0,0,4228,992
5038,15.3,0,0,4526,1192
5039,16.6,1,0,4493,1116
5040,17.4,1,0,2263,1228
5041,17,0,0.125,4407,694
5042,17.3,0,0,4475,1264
5043,17.3,0,0.0625,4132,735
5044,16.9,0,0,1604,768
5045,17,0,0,4528,762
5046,17,1,0,4396,964
5047,16.1,1,0,4526,1032
5048,16.7,1,0,4272,1003
5049,17.1,1,0,4231,992
5050,16.6,0,0,4274,1228
5051,17.7,1,0,2143,1264
5052,16,0,0,4230,768
5053,17.2,0,0,4175,964
5054,16.6,0,0,4467,964
5055,16.8,1,0,4526,875
5056,16.7,1,0,4410,875
5057,16.6,1,0,4345,1116
5058,17.2,1,0,2156,735
5059,16.6,0,0,4518,968
5060,17.5,1,0,4175,1116
5061,17,1,0,1506,557
5062,17.8,1,0,4173,1274
5063,17.1,1,0,4453,1274
5064,17.4,0,0,4173,735
5065,16.6,0,0,4475,615
5066,17,0,0,2165,557
5067,17.2,0,0,2058,608
5068,17.2,1,0,2248,1274
5069,17,0,0,4402,968
5070,16.6,1,0,4362,1092
5071,16.7,1,0,4345,998
5072,15.7,0,0,4175,1003
5073,15.9,1,0,4263,1116
5074,16.2,1,0,4324,1112
5075,17.8,1,0,4203,1092
5076,16.6,1,0,4362,1203
5077,15.7,1,0,1506,537
5078,16.5,1,0,1666,608
5079,16.9,0,0,2165,827
5080,16,1,0,4228,1068
5081,16.6,1,0,4156,950
5082,16.7,0,0,4227,1112
5083,17,0,0,4485,1009
5084,17.3,1,0,4227,1009
5085,16.9,0,0,4205,1241
5086,17.4,0,0,4441,1104
5087,16.4,1,0,4517,1009
5088,17.9,1,0.0625,4132,544
5089,17.5,1,0,4227,899
5090,17.6,0,0,4174,741
5091,17.6,0,0,4518,1104
5092,16.5,1,0,4156,1104
5093,16.5,1,0,4174,663
5094,16.7,1,0,4381,663
5095,16.1,0,0,4205,837
5096,17.8,1,0.0625,4132,741
5097,16.4,1,0,4490,899
5098,16.3,1,0,2245,837
5099,16.4,0,0,4413,1198
5100,16.8,0,0,4494,1198
5101,16.9,1,0,4405,1053
5102,16.7,1,0,4490,1053
5103,17.4,1,0.125,4407,641
5104,17.9,1,0,2143,855
5105,16.8,0,0,4228,1136
5106,17,0,0,4494,1136
5107,17.7,0,0,4302,1188
5108,17.8,1,0,4241,1198
5109,17.2,0,0,4413,1053
5110,17.3,1,0,4225,1258
5111,16.8,1,0,4274,1258
5112,15.8,1,0,4205,820
5113,17.2,1,0,4225,855
5114,16.9,1,0,4325,1080
5115,17.6,0,0,4405,1210
5116,17.4,0,0,4254,1179
5117,17,1,0,4241,1179
5118,16,1,0,4228,1198
5119,16.6,0,0.125,4407,779
5120,17.2,0,0,4156,881
5121,17.5,0,0,4383,1130
5122,16.7,0,0,4281,1136
5123,17.5,1,0,4383,1210
5124,17.3,1,0,4228,1210
5125,17.4,1,0,1527,684
5126,17.7,1,0,2156,684
5127,16.3,0,0,2253,779
5128,16.5,0,0,4413,1080
5129,17.4,1,0,4191,881
5130,16.5,1,0,4325,886
5131,17.7,1,0,4302,886
5132,16.4,0,0,4525,1179
5133,17.7,0,0,4405,1188
5134,17.5,1,0,4413,1188
5135,17.6,1,0,4281,886
5136,16.4,1,0,4413,899
5137,17.2,0,0,4493,886
5138,16.8,0,0,4525,1080
5139,17,0,0,4254,1080
5140,17.1,1,0,4493,1130
5141,17.1,1,0,4490,881
5142,16.1,1,0,4325,1136
5143,16.7,0,0,4383,864
5144,17,0,0,4302,906
5145,17.2,1,0,4142,906
5146,17,0,0,4525,1130
5147,17.4,1,0,4272,1142
5148,17.2,1,0,4362,1154
5149,16.3,0,0,4302,1179
5150,16.8,1,0,4493,1179
5151,17,0,0,4229,1188
5152,16.9,1,0,4368,1210
5153,16.3,0,0,4493,893
5154,16.6,1,0,2058,604
5155,16.6,0,0.03125,4490,864
5156,16.8,0,0,4362,906
5157,17.6,0,0,4493,1037
5158,17.3,0,0,4203,1154
5159,17.1,0,0,4396,1154
5160,17.1,1,0,1439,623
5161,17.1,1,0,4173,604
5162,17,1,0,4241,1037
5163,18.2,0,0,4203,1059
5164,17.3,0,0,4231,1059
5165,17.7,0,0,4173,552
5166,16.6,0,0,4503,864
5167,17,0,0,4396,906
5168,17.1,0,0,4231,906
5169,17.3,0,0,4231,919
5170,16.2,1,0,4156,1173
5171,17.2,1,0,4156,552
5172,17.1,0,0,4241,893
5173,16.8,0,0,4474,1073
5174,16.6,0,0,4241,919
5175,17.6,1,0,4368,893
5176,16.7,0,0,4156,1037
5178,17,0,0,4362,1059
5179,16.3,1,0,4465,1173
5180,16.1,1,0,4490,906
5181,16.8,0,0,4467,919
5182,16.5,1,0,4227,1059
5183,17.5,1,0,4467,1073
5184,17.1,0,0,4485,1073
