T3 data all ages	duck ID	Inctemp	id   sex     age   laysequence	daysheld  t3	logt3		T4dataallages	ID	mass	tarsus	sasid  Trt   sex     age   laysequence	daysheld  T4 	logT4		T3 data at T0	Trt	ID	mass	tarsus	age	timeofbleed  hatchtime	hroldatT0  timetohatch  incperiod   T3	logT3	bodycondition	   T4dataDay0	Trt	ID	mass	tarsus	age	timeofbleed   hatchtime	 hroldatT0  timetohatch	incperiod   T4	logT4	bodycondition
			T1.1.8	H	6	M	4	8	4	2.34	0.369215857			Z5.1.4	28.98	19.565	52	L	F	0	4	3	12.18	1.085647288																					L	Z5.1.4	28.98	19.565	0	10:35	8:00	2.58	44.25	36	12.18	1.085647288	0.718867242
			T2.2.5	H	7	F	4	5	3	4.81	0.682145076			D6.1.6	31.56	19.22	1	H	M	4	6	3	34.21	1.534153074																															
			T2.2.6	H	8	M	4	6	3	4.245	0.627877695			D8.1.6	21.84	19.125	2	H	M	4	6	2	10.1	1.004321374																															
			T5.1.7	H	9	M	4	7	2	5.01	0.699837726			H1.1.4	29.27	20.235	3	H	M	4	4	4	9.38	0.972202838																															
			T6.1.7	H	10	M	4	7	3	2.45	0.389166084			N11.1.3	33.83	19.335	4	H	M	4	3	3	8.89	0.948901761																															
			T7.1.13	H	11	M	4	13	3	2.99	0.475671188			N8.1.10	23.62	19.005	5	M	M	4	10	3	9.81	0.991669007																															
			T7.1.14	H	12	M	4	14	3	3.31	0.519827994			T1.1.8	30.61	19.67	6	H	M	4	8	4	25.14	1.400365273																															
			W5.1.3	H	13	F	4	3	1	3.1	0.491361694			T2.2.5	20.43	16.52	7	H	F	4	5	3	24.84	1.395151592																															
			Z1.1.7	H	14	F	4	7	4	3.46	0.539076099			T2.2.6	30.82	19.745	8	H	M	4	6	3	28.74	1.458486764																															
			Z5.1.5	H	15	F	4	5	1	2.72	0.434568904			T5.1.7	35.03	20.365	9	H	M	4	7	2	6.62	0.820857989																															
			D3.1.7	M	16	M	4	7	1	3.305	0.519171464			T6.1.7	25.51	18.345	10	H	M	4	7	3	10.2	1.008600172																															
			D8.1.8	M	17	F	4	8	1	2.39	0.378397901			T7.1.13	26.09	19.095	11	H	M	4	13	3	14.56	1.163161375																															
			N5.1.3	M	18	F	4	3	2	2.03	0.307496038			T7.1.14	29.33	19.38	12	H	M	4	14	3	8.31	0.919601024																															
			N8.1.7	M	19	F	4	7	4	3.64	0.561101384			W5.1.3	30.79	19.395	13	H	F	4	3	1	16.63	1.220892249																															
			N8.1.8	M	20	F	4	8	4	3.735	0.572290606			Z1.1.7	24.6	17.67	14	H	F	4	7	4	10.68	1.028571253																															
			O2.1.2	M	21	F	4	2	4	2.63	0.419955748			Z5.1.5	32.09	19.28	15	H	F	4	5	1	20.35	1.308564414																															
			O3.1.3	M	22	M	4	3	1	1.76	0.245512668			D3.1.7	24.63	18.655	16	M	M	4	7	1	31.34	1.496098992																															
			T1.1.6	M	23	F	4	6	1	1.645	0.216165902			D8.1.8	23.31	18.16	17	M	F	4	8	1	17.21	1.23578087																															
			T3.1.8	M	24	F	4	8	3	2.71	0.432969291			N5.1.3	26.8	19.525	18	M	F	4	3	2	6.98	0.843855423																															
			U14.1.1	M	25	M	4	1	2	1.02	0.008600172			N8.1.7	29.41	20.34	19	M	F	4	7	4	7.89	0.897077003																															
